ID,taxon,glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,classification_wals,classification_ethnologue,classification_glottolog,recently_extinct,long_extinct,year_of_extinction,code_wals,code_iso,transcribers
A51BAFIAMAJA,A51_BAFIA_MAJA,lefa1242,Lefa,lfa,Africa,5.1,11.2,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Bafia(A.51)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Bafia(A.50),NuclearBafia(A.50),Lefa-Bafia",FALSE,FALSE,,,lfa,Ann-Katrin Wett
A51BAFIATUMITINGON,A51_BAFIA_TUMI_TINGON,lefa1242,Lefa,lfa,Africa,5.1,11.2,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Bafia(A.51)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Bafia(A.50),NuclearBafia(A.50),Lefa-Bafia",FALSE,FALSE,,,lfa,Ann-Katrin Wett
A51BAFIAZAKAAN,A51_BAFIA_ZAKAAN,lefa1242,Lefa,lfa,Africa,5.1,11.2,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Bafia(A.51)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Bafia(A.50),NuclearBafia(A.50),Lefa-Bafia",FALSE,FALSE,,,lfa,Ann-Katrin Wett
A53BAFIARIKPA,A53_BAFIA_RIKPA,bafi1243,Bafia,ksf,Africa,5,11.17,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Bafia(A.53)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Bafia(A.50),NuclearBafia(A.50),Lefa-Bafia",FALSE,FALSE,,bfi,ksf,Ann-Katrin Wett
A54BAFIANJANTI,A54_BAFIA_NJANTI,tibe1274,Tibea,ngy,Africa,5.3,11.3,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Bafia(A.54)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Bafia(A.50)",FALSE,FALSE,,,ngy,Ann-Katrin Wett
A60GUNU,A60_GUNU,nugu1242,Nugunu (Cameroon),yas,Africa,4.58,11.25,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Sanaga(A.622)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Mbam,Yambasa(A.60)",FALSE,FALSE,,gun,yas,Ann-Katrin Wett
A60MMAALA,A60_MMAALA,mmaa1238,Mmaala,mmu,Africa,4.5,11.08,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Sanaga(A.62)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Mbam,Yambasa(A.60),Baca-NuclearYambasa,NuclearYambasa,Elip-Maala",FALSE,FALSE,,,mmu,Ann-Katrin Wett
A61NGOROASOM,A61_NGORO_ASOM,tuki1240,Tuki,bag,Africa,4.58,11.5,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Sanaga(A.601)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Mbam,Sanaga(A.60)",FALSE,FALSE,,tki,bag,Ann-Katrin Wett
A62KALONGE,A62_KALONGE,yang1293,Yangben,yav,Africa,4.43,11.08,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Sanaga(A.62)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Mbam,Yambasa(A.60),Baca-NuclearYambasa,NuclearYambasa",FALSE,FALSE,,,yav,Ann-Katrin Wett
A72aEWONDO,A72a_EWONDO,ewon1239,Ewondo,ewo,Africa,4,12,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Ewondo-Fang(A.72)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Yaunde-Fang(A.70),Ewondo-Bebele",FALSE,FALSE,,ewo,ewo,Ann-Katrin Wett
AASAX,AASAX,aasa1238,Aasax,aas,Africa,-4.04,37.16,Afro-Asiatic,AA.SOUTHERN_CUSHITIC,"Afro-Asiatic,Cushitic,South","Afro-Asiatic,Cushitic,SouthCushitic,UnclassifiedSouthCushitic",FALSE,FALSE,,,aas,Darja Appelganz
ABAR,ABAR,abar1238,Mungbam,mij,Africa,6.58,10.25,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,Yemne-Kimbi","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid",FALSE,FALSE,,,mij,Viveka Velupillai
ABASAKUR,ABASAKUR,pall1244,Pal,abw,Papunesia,-4.77,145.23,Nuclear Trans New Guinea,TNG.MADANG,"Trans-NewGuinea,Madang,Croisilles,Pihom,Omosan","Nuclear_Trans_New_Guinea,Madang,Croisilles,Tibor-Omosa,Omosan",FALSE,FALSE,,,abw,Cecil H. Brown
ABAU,ABAU,abau1245,Abau,aau,Papunesia,-4,141.25,Sepik,Sep.UPPER_SEPIK,"Sepik,Abau",Sepik,FALSE,FALSE,,aba,aau,Julia Bischoffberger
ABAU2,ABAU_2,abau1245,Abau,aau,Papunesia,-4,141.25,Sepik,Sep.UPPER_SEPIK,"Sepik,Abau",Sepik,FALSE,FALSE,,aba,aau,Julia Bischoffberger and Matthew S. Dryer
ABAZA,ABAZA,abaz1241,Abaza,abq,Eurasia,44,42,Abkhaz-Adyge,NWC.NORTHWEST_CAUCASIAN,"NorthCaucasian,WestCaucasian,Abkhaz-Abazin","Abkhaz-Adyge,Abkhaz-Abaza",FALSE,FALSE,,abz,abq,André Müller
