ID,taxon,glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,classification_wals,classification_ethnologue,classification_glottolog,recently_extinct,long_extinct,year_of_extinction,code_wals,code_iso,transcribers
ABE,ABE,abee1242,Abé,aba,Africa,5.83,-4.25,Atlantic-Congo,NC.KWA,"Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Agneby","Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Agneby",FALSE,FALSE,,,aba,
ABIPON,ABIPON,abip1241,Abipon,axb,South America,-29,-61,Guaicuruan,Gcu.SOUTH_GUAICURUAN,"Guaykuruan,Southern","Guaicuruan,GuaicurudelSur",TRUE,FALSE,,abi,axb,Cecil H. Brown
ABIRPARAMAHALI,ABIRPARA_MAHALI,maha1291,Mahali,mjx,Eurasia,23.4,85.32,Austroasiatic,AuA.MUNDA,"Austro-Asiatic,Munda,NorthMunda,Kherwari,Santali","Austroasiatic,Mundaic,NorthMunda,Kherwarian,Santalic",FALSE,FALSE,,,mjx,Sebastian Sauppe
ABKHAZ,ABKHAZ,abkh1244,Abkhaz,abk,Eurasia,43.08,41,Abkhaz-Adyge,NWC.NORTHWEST_CAUCASIAN,"NorthCaucasian,WestCaucasian,Abkhaz-Abazin","Abkhaz-Adyge,Abkhaz-Abaza",FALSE,FALSE,,abk,abk,André Müller
ABNAKIEASTERN,ABNAKI_EASTERN,east2544,Eastern Abenaki,aaq,North America,45,-68.67,Algic,Alg.ALGONQUIAN,"Algic,Algonquian,EasternAlgonquian,Abenaki","Algic,Algonquian,EasternAlgonquian",TRUE,FALSE,1995,,aaq,Helen Geyer
ABNAKIWESTERN,ABNAKI_WESTERN,west2630,Western Abenaki,abe,North America,44,-72.25,Algic,Alg.ALGONQUIAN,"Algic,Algonquian,EasternAlgonquian,Abenaki","Algic,Algonquian,EasternAlgonquian",FALSE,FALSE,,abw,abe,Pamela Brown
ABRON,ABRON,abro1238,Abron,abr,Africa,8,-3,Atlantic-Congo,NC.KWA,"Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Tano,Central,Akan","Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,CentralTano,Akanic",FALSE,FALSE,,,abr,Julia Bischoffberger
ABUA,ABUA,abua1244,Abua,abn,Africa,4.91,6.69,Atlantic-Congo,NC.CROSS_RIVER,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,CentralDelta,Abua-Odual","Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,CentralDelta,Abua-Odual",FALSE,FALSE,,,abn,Viveka Velupillai
ABUI,ABUI,abui1241,Abui,abz,Papunesia,-8.25,124.58,Timor-Alor-Pantar,TAP.GREATER_ALOR,"Trans-NewGuinea,West,Timor-Alor-Pantar,Alor-Pantar,Alor","Timor-Alor-Pantar,Alor-Pantar,Alor",FALSE,FALSE,,abv,abz,Ann-Katrin Wett
ABUIATIMELANG,ABUI_ATIMELANG,abui1241,Abui,abz,Papunesia,-8.25,124.58,Timor-Alor-Pantar,TAP.GREATER_ALOR,"Trans-NewGuinea,West,Timor-Alor-Pantar,Alor-Pantar,Alor","Timor-Alor-Pantar,Alor-Pantar,Alor",FALSE,FALSE,,abv,abz,Zarina Molochieva
ABUIMAKADAI,ABUI_MAKADAI,abui1241,Abui,abz,Papunesia,-8.25,124.58,Timor-Alor-Pantar,TAP.GREATER_ALOR,"Trans-NewGuinea,West,Timor-Alor-Pantar,Alor-Pantar,Alor","Timor-Alor-Pantar,Alor-Pantar,Alor",FALSE,FALSE,,abv,abz,Zarina Molochieva
ABUITAKALELANG,ABUI_TAKALELANG,abui1241,Abui,abz,Papunesia,-8.25,124.58,Timor-Alor-Pantar,TAP.GREATER_ALOR,"Trans-NewGuinea,West,Timor-Alor-Pantar,Alor-Pantar,Alor","Timor-Alor-Pantar,Alor-Pantar,Alor",FALSE,FALSE,,abv,abz,Søren Wichmann and Viveka Velupillai
ABUJHMARIA,ABUJHMARIA,mari1414,Maria (India),mrr,Eurasia,19.5,81,Dravidian,Dra.SOUTH-CENTRAL_DRAVIDIAN,"Dravidian,South-Central,Gondi-Kui,Gondi","Dravidian,SouthDravidian,SouthDravidianII,Gondi,SoutheastGondi,HillMaria-Koya",FALSE,FALSE,,,mrr,Ann-Katrin Wett
ABUL,ABUL,heib1243,Ebang,hbn,Africa,11.25,30.67,Heibanic,Krd.HEIBAN,"Niger-Congo,Kordofanian,Heiban,West-Central,Central,Ebang-Logol,Ebang-Laru","Heibanic,West-CentralHeibanic,CentralHeibanic,Ebang-Logol,Ebang-Laru",FALSE,FALSE,,,hbn,Viveka Velupillai
ABUN,ABUN,abun1252,Abun,kgr,Papunesia,-0.5,132.5,Abun,WP.NORTH-CENTRAL_BIRDS_HEAD,Languageisolate_kgr,Abun,FALSE,FALSE,,abu,kgr,Søren Wichmann
ABUNGSUKADANALAMPUNGNYO,ABUNG_SUKADANA_LAMPUNG_NYO,lamp1242,Lampung Nyo,abl,Papunesia,-4.67,105.5,Austronesian,An.LAMPUNGIC,"Austronesian,Malayo-Polynesian,Lampung","Austronesian,NuclearAustronesian,Malayo-Polynesian,Lampungic",FALSE,FALSE,,,abl,Sebastian Sauppe
ABUARAPESH,ABU_ARAPESH,abua1245,Abu' Arapesh,aah,Papunesia,-6.17,140.17,Nuclear Torricelli,Tor.KOMBIO-ARAPESH,"Torricelli,Kombio-Arapesh,Arapesh","Nuclear_Torricelli,Kombio-Arapesh-Urat,Arapesh,Mufian-Bukiyip-Abu,Bukiyip-Abu",FALSE,FALSE,,,aah,Julia Bischoffberger and Matthew S. Dryer
ACATECOSANMIGUELACATAN,ACATECO_SAN_MIGUEL_ACATAN,west2635,Akateko,knj,North America,15.33,-91.67,Mayan,May.MAYAN,"Mayan,Yucatecan-CoreMayan,Q'anjob'alan-Chujean,Q'anjob'alan,Q'anjob'al-Akateko-Jakalteko","Mayan,CoreMayan,WesternMayan,Kanjobalan-Chujean,Kanjobalan,Kanjobal-Jacaltec",FALSE,FALSE,,kwe,knj,Pamela Brown
ACEH,ACEH,achi1257,Acehnese,ace,Eurasia,5.5,95.5,Austronesian,An.MALAYO-SUMBAWAN,"Austronesian,Malayo-Polynesian,Malayo-Chamic,Chamic,Acehnese","Austronesian,NuclearAustronesian,Malayo-Polynesian,Malayo-Sumbawan,NorthandEastMalayo-Sumbawan,Aceh-Chamic",FALSE,FALSE,,ace,ace,Søren Wichmann and Viveka Velupillai
ACHAEMENIDARAMAIC,ACHAEMENID_ARAMAIC,jewi1240,Jewish Babylonian Aramaic (ca. 200-1200 CE),tmr,Eurasia,32.54,44.42,Afro-Asiatic,AA.SEMITIC,"Afro-Asiatic,Semitic,Central,Aramaic,Eastern,Central,Northeastern","Afro-Asiatic,Semitic,WestSemitic,CentralSemitic,NorthwestSemitic,Aramaic,EasternAramaic,CentralEasternAramaic,North-EasternNeo-Aramaic",FALSE,TRUE,,,tmr,André Müller
ACHAGUA,ACHAGUA,acha1250,Achagua,aca,South America,4.42,-72.25,Arawakan,Arw.NORTHERN_ARAWAKAN,"Maipurean,Northern,UpperAmazon,WesternNawiki,Piapoco","Arawakan,NorthernMaipuran,InlandNorthernMaipuran,Japura-Colombia,NuclearJapura-Colombia,Piapoco-Achagua",FALSE,FALSE,,acg,aca,Cecil H. Brown
ACHANG,ACHANG,acha1249,Longchuan Achang,acn,Eurasia,25,98.5,Sino-Tibetan,ST.BURMESE-LOLO,"Sino-Tibetan,Tibeto-Burman,Ngwi-Burmese,Burmish,Northern","Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese,Burmish,NorthernBurmish,HighNorthernBurmish,Achangic",FALSE,FALSE,,acn,acn,Cecil H. Brown
ACHE,ACHE,ache1246,Aché,guq,South America,-25.25,-55.17,Tupian,Tup.TUPI-GUARANI,"Tupian,Tup\'i-Guaran\'i,Guaran\'i","Tupian,Maweti-Guarani,Aweti-Guarani,Tupi-Guarani,Tupi-GuaraniSubgroupI",FALSE,FALSE,,ach,guq,André Müller
ACHOLI,ACHOLI,acol1236,Acoli,ach,Africa,3,32.67,Nilotic,ESu.NILOTIC,"Nilo-Saharan,Satellite-Core,Core,EasternSudanic,Southern(nlanguages),Nilotic,Western,Luo,Southern,Luo-Acholi,Alur-Acholi,Lango-Acholi","Nilotic,WesternNilotic,Luo-Burun,SouthernLwoo",FALSE,FALSE,,acl,ach,Viveka Velupillai
ACHOLI2,ACHOLI_2,acol1236,Acoli,ach,Africa,3,32.67,Nilotic,ESu.NILOTIC,"Nilo-Saharan,Satellite-Core,Core,EasternSudanic,Southern(nlanguages),Nilotic,Western,Luo,Southern,Luo-Acholi,Alur-Acholi,Lango-Acholi","Nilotic,WesternNilotic,Luo-Burun,SouthernLwoo",FALSE,FALSE,,acl,ach,Søren Wichmann
ACHUAR,ACHUAR,achu1248,Achuar-Shiwiar,acu,South America,-3,-76,Chicham,Jiv.JIVAROAN,"Jivaroan,J\'ivaro","Chicham,Shuaric",FALSE,FALSE,,acu,acu,
ACHUMAWI,ACHUMAWI,achu1247,Achumawi,acv,North America,41.5,-121,Palaihnihan,Hok.PALAIHNIHAN,Palaihnihan,Palaihnihan,FALSE,FALSE,,acm,acv,Cecil H. Brown
ADANG,ADANG,adan1251,Adang,adn,Papunesia,-8.17,124.47,Timor-Alor-Pantar,TAP.GREATER_ALOR,"Trans-NewGuinea,West,Timor-Alor-Pantar,Alor-Pantar,Alor","Timor-Alor-Pantar,Alor-Pantar,Alor,WestAlor,StraitsWestAlor,Adang-Hamap-Kabola",FALSE,FALSE,,adg,adn,Ann-Katrin Wett
ADANGPITUNG,ADANG_PITUNG,adan1251,Adang,adn,Papunesia,-8.17,124.47,Timor-Alor-Pantar,TAP.GREATER_ALOR,"Trans-NewGuinea,West,Timor-Alor-Pantar,Alor-Pantar,Alor","Timor-Alor-Pantar,Alor-Pantar,Alor,WestAlor,StraitsWestAlor,Adang-Hamap-Kabola",FALSE,FALSE,,adg,adn,Viveka Velupillai
ADELE,ADELE,adel1244,Adele,ade,Africa,8.17,0.5,Atlantic-Congo,NC.KWA,"Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Basila-Adele","Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Na-Togo,Basila-Adele",FALSE,FALSE,,,ade,Viveka Velupillai
ADHOLA,ADHOLA,adho1243,Adhola,adh,Africa,0.67,34,Nilotic,ESu.NILOTIC,"Nilo-Saharan,Satellite-Core,Core,EasternSudanic,Southern(nlanguages),Nilotic,Western,Luo,Southern,Adhola","Nilotic,WesternNilotic,Luo-Burun,SouthernLwoo,Adhola-Alur-Luo,Adhola-Luo",FALSE,FALSE,,,adh,Zarina Molochieva
ADILABADGONDI,ADILABAD_GONDI,,,wsg,,19,81,,Dra.SOUTH-CENTRAL_DRAVIDIAN,"Dravidian,South-Central,Gondi-Kui,Gondi","Dravidian,SouthDravidian,SouthDravidianII,Gondi,NorthwestGondi",FALSE,FALSE,,gon,wsg,Ann-Katrin Wett
ADIOUKROU,ADIOUKROU,adio1239,Adioukrou,adj,Africa,5.42,-4.58,Atlantic-Congo,NC.KWA,"Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Agneby","Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Agneby",FALSE,FALSE,,adi,adj,Viveka Velupillai
ADIGALO,ADI_GALO,galo1242,Galo,adl,Eurasia,28.23,94.07,Sino-Tibetan,ST.TANI,"Sino-Tibetan,Tibeto-Burman,CentralTibeto-Burman,Tani","Sino-Tibetan,Macro-Tani,Tani,Pre-WesternTani,WesternTani,Subansiri",FALSE,FALSE,,,adl,Sebastian Sauppe
ADNYAMATHANHA,ADNYAMATHANHA,adny1235,Adnyamathanha,adt,Australia,-30.5,139.5,Pama-Nyungan,Aus.PAMA-NYUNGAN,"Australian,Pama-Nyungan,South-West,Yura","Pama-Nyungan,Arandic-Thura-Yura,Thura-Yura,CoreThuraYura,NorthernThura-Yura",FALSE,FALSE,,adn,adt,Zarina Molochieva
ADUMANISULUKOMERING,ADUMANIS_ULU_KOMERING,kome1238,Komering,kge,Papunesia,-4,105,Austronesian,An.LAMPUNGIC,"Austronesian,Malayo-Polynesian,Lampung","Austronesian,NuclearAustronesian,Malayo-Polynesian,Lampungic",FALSE,FALSE,,kag,kge,Sebastian Sauppe
ADYGHE,ADYGHE,adyg1241,Adyghe,ady,Eurasia,45.23,40.58,Abkhaz-Adyge,NWC.NORTHWEST_CAUCASIAN,"NorthCaucasian,WestCaucasian,Circassian","Abkhaz-Adyge,Circassian",FALSE,FALSE,,adt,ady,André Müller
ADZERA,ADZERA,adze1240,Adzera,adz,Papunesia,-6.25,146.25,Austronesian,An.OCEANIC,"Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,Oceanic,WesternOceanic,NorthNewGuinea,HuonGulf,Markham,Upper","Austronesian,NuclearAustronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,Oceanic,WesternOceaniclinkage,NorthNewGuinealinkage,HuonGulf,Markham,UpperMarkham",FALSE,FALSE,,adz,adz,Mark Donohue and Viveka Velupillai
AFADE,AFADE,afad1236,Afade,aal,Africa,11.33,15.33,Afro-Asiatic,AA.BIU-MANDARA,"Afro-Asiatic,Chadic,Biu-Mandara,B,B.1,KotokoProper,North","Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara,NorthKotoko-Buduma-Musgum,NorthKotoko-Buduma,KotokoSeptentrional",FALSE,FALSE,,ktk,aal,Julia Bischoffberger
AFAR,AFAR,afar1241,Afar,aar,Africa,12,42,Afro-Asiatic,AA.LOWLAND_EAST_CUSHITIC,"Afro-Asiatic,Cushitic,East,Saho-Afar","Afro-Asiatic,Cushitic,EastCushitic,LowlandEastCushitic,Saho-Afar",FALSE,FALSE,,qaf,aar,André Müller
AFAR2,AFAR_2,afar1241,Afar,aar,Africa,12,42,Afro-Asiatic,AA.LOWLAND_EAST_CUSHITIC,"Afro-Asiatic,Cushitic,East,Saho-Afar","Afro-Asiatic,Cushitic,EastCushitic,LowlandEastCushitic,Saho-Afar",FALSE,FALSE,,qaf,aar,André Müller
AFITTI,AFITTI,afit1238,Afitti,aft,Africa,12.47,30.75,Nyimang,ESu.NYIMANG,"Nilo-Saharan,Satellite-Core,Core,EasternSudanic,Northern(klanguages),Nyimang",Nyimang,FALSE,FALSE,,,aft,Julia Bischoffberger
AFIAMANDA,AFI_AMANDA,batu1255,Batu,btu,Africa,6.8,10.95,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,Tivoid","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,Tivoid,NorthTivoid",FALSE,FALSE,,,btu,Viveka Velupillai
AFOA,AFOA,taua1242,Tauade,ttd,Papunesia,-8.42,147.17,Goilalan,TNG.GOILALAN,"Trans-NewGuinea,SoutheastPapuan,Goilalan,Kunimaipa",Goilalan,FALSE,FALSE,,,ttd,
AFRIKAANS,AFRIKAANS,afri1274,Afrikaans,afr,Africa,-31,22,Indo-European,IE.GERMANIC,"Indo-European,Germanic,West,LowSaxon-LowFranconian,LowFranconian","Indo-European,Germanic,NorthwestGermanic,WestGermanic,Franconian,LowFranconian,Afrikaansic",FALSE,FALSE,,afr,afr,André Müller
AGALA,AGALA,femb1238,Fembe,agl,Papunesia,-5.75,142.25,East Strickland,ES.EAST_STRICKLAND,"Trans-NewGuinea,EastStrickland",East_Strickland,FALSE,FALSE,,,agl,Mark Donohue and Oleg Belyaev
AGARABI,AGARABI,agar1252,Agarabi,agd,Papunesia,-6.17,146,Nuclear Trans New Guinea,TNG.EASTERN_HIGHLANDS,"Trans-NewGuinea,Kainantu-Goroka,Kainantu,Gadsup-Auyana-Awa","Nuclear_Trans_New_Guinea,Kainantu-Goroka,Kainantu,Gauwa,Gadsup-Agarabi",FALSE,FALSE,,aga,agd,Søren Wichmann
AGHEMISU,AGHEM_ISU,aghe1239,Aghem,agq,Africa,6.67,10,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,WideGrassfields,NarrowGrassfields,Ring,West","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,WideGrassfields,NarrowGrassfields,Ring,WestRing",FALSE,FALSE,,agh,agq,Viveka Velupillai
AGHEMWEH,AGHEM_WEH,aghe1239,Aghem,agq,Africa,6.67,10,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,WideGrassfields,NarrowGrassfields,Ring,West","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,WideGrassfields,NarrowGrassfields,Ring,WestRing",FALSE,FALSE,,agh,agq,Viveka Velupillai
AGHEMWUM,AGHEM_WUM,aghe1239,Aghem,agq,Africa,6.67,10,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,WideGrassfields,NarrowGrassfields,Ring,West","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,WideGrassfields,NarrowGrassfields,Ring,WestRing",FALSE,FALSE,,agh,agq,Viveka Velupillai
AGHU2,AGHU_2,aghu1255,Aghu,ahh,Papunesia,-6.17,140.17,Nuclear Trans New Guinea,TNG.AWJU-DUMUT,"Trans-NewGuinea,Ok-Awyu,Awyu-Dumut,Awyu","Nuclear_Trans_New_Guinea,Asmat-Awyu-Ok,Awyu-Ok,GreaterAwyu,Awyu-Dumut,Awyu,Mappi-DigulAwyu",FALSE,FALSE,,ahu,ahh,Julia Bischoffberger
AGHUTHARRNGGALA,AGHU_THARRNGGALA,aghu1256,Aghu Tharnggalu (Retired),gtu,Australia,-15,144,Bookkeeping,Aus.PAMA-NYUNGAN,"Australian,Pama-Nyungan,Paman,RarmulPama","Pama-Nyungan,Paman,RarmulPama",TRUE,FALSE,,,gtu,Julia Bischoffberger
AGI,AGI,moru1253,Moru,mgd,Africa,4.75,29.75,Central Sudanic,CSu.MORU-MAADI,"Nilo-Saharan,Satellite-Core,Satellites,CentralSudanic,East,Moru-Madi,Northern","Central_Sudanic,Moru-Madi",FALSE,FALSE,,mou,mgd,Viveka Velupillai
AGIAGEI,AGI_AGEI,agii1245,Agi,aif,Papunesia,-3.42,142.42,Nuclear Torricelli,Tor.WAPEI-PALEI,"Torricelli,Wapei-Palei,Palei","Nuclear_Torricelli,WestPalai,Agi-Yeri",FALSE,FALSE,,,aif,Søren Wichmann
AGIYOLPA,AGI_YOLPA,agii1245,Agi,aif,Papunesia,-3.42,142.42,Nuclear Torricelli,Tor.WAPEI-PALEI,"Torricelli,Wapei-Palei,Palei","Nuclear_Torricelli,WestPalai,Agi-Yeri",FALSE,FALSE,,,aif,Søren Wichmann
AGOBDABU,AGOB_DABU,agob1244,Agob-Ende-Kawam,kit,Papunesia,-9,142.58,Pahoturi,MUM.MOREHEAD_AND_UPPER_MARO_RIVERS,"South-CentralPapuan,Pahoturi",Pahoturi,FALSE,FALSE,,,kit,
AGRAGUJARI,AGRA_GUJARI,guja1253,Gujari,gju,Eurasia,27.18,78,Indo-European,IE.INDIC,"Indo-European,Indo-Iranian,Indo-Aryan,IntermediateDivisions,Western,Rajasthani,Unclassified_gju","Indo-European,Indo-Iranian,Indo-Aryan,Indo-AryanCentralzone,SubcontinentalCentralIndo-Aryan,Gujarati-Rajasthani,Rajasthani,Mewati-Gojri",FALSE,FALSE,,goj,gju,
AGTA,AGTA,cent2084,Central Cagayan Agta,agt,Papunesia,17.97,121.83,Austronesian,An.NORTHERN_LUZON,"Austronesian,Malayo-Polynesian,Philippine,NorthernLuzon,NorthernCordilleran,CagayanValley,Ibanagic,Gaddangic","Austronesian,NuclearAustronesian,Malayo-Polynesian,NorthernLuzon,CagayanValley,Ibanagic,Gaddangic",FALSE,FALSE,,agc,agt,Ann-Katrin Wett
AGUACATEC,AGUACATEC,agua1252,Aguacateco,agu,North America,15.42,-91.33,Mayan,May.MAYAN,"Mayan,Yucatecan-CoreMayan,K'ichean-Mamean,Mamean,Awakateko-Ixil","Mayan,CoreMayan,Quichean-Mamean,GreaterMamean,Ixilan",FALSE,FALSE,,agu,agu,Cecil H. Brown
