Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_Semantic_classes_Agreement_patterns.txt
Log File Name:                   features_Semantic_classes_Agreement_patterns.independent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            912405018
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_Semantic_classes_Agreement_patterns.independent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      False
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Scale Tree:                      0.000072
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1000
     Taxa:                       14
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-59.535775	898	1.131354275560	2.312223146925	27.614830578496	12.957834966295	0.000000000000	
3000	-61.383079	922	2.353832451274	3.092295496963	30.896002685678	16.333979415398	0.000000000000	
4000	-60.103929	337	2.753277713871	3.346779330781	23.449439307311	12.182412357069	0.000000000000	
5000	-59.685383	183	4.310930524756	2.592834582852	30.096091598623	13.959284186714	0.000000000000	
6000	-59.341858	989	2.173773653375	2.598172685564	33.691611559023	13.135471580268	0.000000000000	
7000	-59.587826	840	4.520612196585	0.752583148343	20.323107515297	9.953807750454	0.000000000000	
8000	-59.616750	593	3.108891522112	0.819143754097	26.143140762974	21.321495745579	0.000000000000	
9000	-62.519454	651	6.948806882070	2.085395271582	29.767227444018	8.974193262129	0.000000000000	
10000	-61.620632	319	3.622824497434	1.758102516765	30.084424233013	16.053990663677	0.000000000000	
11000	-63.129009	405	0.401654288857	-1.447714067089	25.214359602320	15.217470461819	0.000000000000	
12000	-59.569274	491	1.330908116567	3.145936623011	31.685129498685	11.877983909060	0.000000000000	
13000	-60.324470	121	3.335742022139	1.665598649798	28.548893580186	15.607246810752	0.000000000000	
14000	-59.993523	550	5.081533825037	2.074448819628	29.069425083107	10.637389692792	0.000000000000	
15000	-61.157919	494	3.177384182173	2.054874516037	30.092922326979	15.228055166156	0.000000000000	
16000	-59.071459	154	3.335074103065	2.887948057842	28.720839497554	16.521226971049	0.000000000000	
17000	-60.023905	438	2.787978518185	2.410093964117	33.626738533387	11.421084803596	0.000000000000	
18000	-60.561884	1000	0.548195077051	3.566880663150	36.114625917411	11.604824277240	0.000000000000	
19000	-59.264044	369	1.137581839120	2.428642249833	29.036571360384	13.270261383179	0.000000000000	
20000	-59.363711	326	4.561611497389	3.077857554501	31.218400795417	15.245471927901	0.000000000000	
21000	-59.307579	538	3.281643607107	1.489746501609	32.514217687195	16.812292201777	0.000000000000	
22000	-58.875582	52	2.219952014884	1.292274167693	26.006535784512	13.634290476972	0.000000000000	
23000	-59.656807	501	3.557236560975	3.937407679189	25.311734975378	14.953450120807	0.000000000000	
24000	-58.611881	847	1.473685218101	3.262029649810	27.654353435546	9.672078528480	0.000000000000	
25000	-59.954787	105	2.939505759243	3.839118877462	26.228280512334	16.474885833510	0.000000000000	
26000	-62.808115	787	1.602635421733	4.569291875457	33.497248600290	14.979982031769	0.000000000000	
27000	-59.688497	634	2.245199414532	4.391928429480	28.151506449524	17.245643395138	0.000000000000	
28000	-59.851704	895	5.094302907472	1.976036613016	41.354341756302	12.320382152418	0.000000000000	
29000	-60.496479	185	2.868483451528	3.942721550118	23.819960876816	15.772363504358	0.000000000000	
30000	-59.704404	591	5.377098781348	2.402445816137	27.248755119877	11.696191444950	0.000000000000	
31000	-59.682812	323	1.412973421031	3.591854404336	28.688959306489	14.466368052125	0.000000000000	
32000	-58.876291	178	0.822756344900	2.752998713971	30.321487463375	12.269627043934	0.000000000000	
33000	-58.915199	777	3.027643296845	1.320343722609	30.472682897016	13.114676775917	0.000000000000	
34000	-61.797850	391	5.377907422232	1.437049493126	37.864026990754	14.814372410074	0.000000000000	
35000	-57.975762	263	3.383988244537	1.904829841347	25.446852086315	15.138934628023	0.000000000000	
36000	-60.821953	310	1.228490405013	2.137656510487	29.116939450540	12.430508885166	0.000000000000	
37000	-59.359242	542	1.169152203107	2.441330561741	34.390420774535	12.855011181123	0.000000000000	
38000	-63.353920	205	4.784834659558	0.264297615659	40.348735701025	23.000877760054	0.000000000000	
39000	-61.874968	575	0.845561068352	0.247756525655	30.760823989341	18.820485265046	0.000000000000	
40000	-60.685657	309	1.463851220543	3.765431260471	30.393015505456	14.625401616782	0.000000000000	
41000	-58.837191	52	4.039016331412	1.848663015123	27.446069751737	12.848517757006	0.000000000000	
42000	-60.553730	888	-0.149552184326	0.898853525230	33.612870220764	14.469939313112	0.000000000000	
43000	-58.163193	326	1.981512735558	1.525616430719	27.387509185765	14.639167621209	0.000000000000	
44000	-59.031441	865	4.023392282823	2.719352413044	29.785645705275	11.487288292114	0.000000000000	
45000	-59.513177	292	3.457048069965	3.709942219869	24.505216578655	11.297777430087	0.000000000000	
46000	-61.554791	118	4.024947647428	3.651724518512	45.855124690687	19.520624851221	0.000000000000	
47000	-59.747661	961	1.550445173150	2.948880042381	33.903471684316	12.609610798854	0.000000000000	
48000	-62.038638	860	5.308569975189	3.426195455554	41.034765216358	17.295974233252	0.000000000000	
49000	-58.405379	591	2.272762821560	2.997907654311	21.623511999359	12.242517923857	0.000000000000	
50000	-58.680895	292	2.942854212851	2.546386400116	23.868245536061	10.298987251573	0.000000000000	
51000	-58.626824	846	2.341028067098	2.101320652383	27.211479582855	13.302766449326	0.000000000000	
52000	-59.444463	772	3.181955847250	2.830742432404	26.467948685987	14.180852864415	0.000000000000	
53000	-60.608980	533	2.015239104784	3.036885374020	33.416199560013	15.164618009242	0.000000000000	
54000	-58.899248	904	1.990412306707	2.495613659355	26.490811436705	12.610591959318	0.000000000000	
55000	-58.312303	593	2.047529056674	3.194490838145	27.304305227493	16.943913506253	0.000000000000	
56000	-60.511075	770	1.933282234994	1.311271665250	28.576978879074	12.903990168175	0.000000000000	
57000	-61.036818	606	1.985990800884	0.477026550253	32.448460800628	17.594256889103	0.000000000000	
58000	-60.180330	701	2.521587984381	5.454253614581	25.983882244649	10.154072591311	0.000000000000	
59000	-57.804835	634	2.774554639321	2.759921798850	28.098984921778	13.201525541071	0.000000000000	
60000	-58.859352	553	2.334265492358	1.991413390437	25.860379029306	13.171077212510	0.000000000000	
61000	-58.703881	944	1.739000216343	3.023721080810	25.862660607700	13.113466567398	0.000000000000	
62000	-59.949505	100	1.118090806033	2.764133471210	36.250099213359	16.378087236595	0.000000000000	
63000	-63.879847	876	2.544799115228	-2.285499677731	27.787299634496	23.236037846305	0.000000000000	
64000	-59.790310	70	3.541009413745	1.266475478002	29.770537822493	14.903327254533	0.000000000000	
65000	-61.231261	475	2.608538297331	1.962459407132	26.729694097979	15.461789409901	0.000000000000	
66000	-59.414735	330	3.440445075717	3.367991673374	24.292898328723	10.482772880368	0.000000000000	
67000	-59.930454	269	4.690975370216	3.341913419557	36.170111337532	16.505644409695	0.000000000000	
68000	-62.629406	361	5.605608410804	0.398909753117	34.512755478054	16.857154732994	0.000000000000	
69000	-60.698701	258	2.652645329953	4.041549467013	27.048441389506	14.570221310691	0.000000000000	
70000	-59.437969	645	3.468314593316	1.462616190662	27.712193119846	13.501281612801	0.000000000000	
71000	-60.122397	647	3.972147936175	4.028072247679	30.645880181691	17.254372456768	0.000000000000	
72000	-59.439323	607	3.136401830396	0.975041895396	28.187692909208	16.710781409238	0.000000000000	
73000	-58.720787	672	2.555381675488	3.601173100187	23.304105254057	14.981889626892	0.000000000000	
74000	-61.919747	701	0.914439132337	6.186636295767	27.737212039074	12.195469325474	0.000000000000	
75000	-60.054247	765	3.298706382617	2.626258859444	27.805158866463	12.517128344616	0.000000000000	
76000	-59.877311	155	5.427621111047	1.884247597158	33.902816818329	14.674418011445	0.000000000000	
77000	-58.967585	1000	4.225869811071	2.835495710864	30.448339275927	10.960856099083	0.000000000000	
78000	-58.608563	376	2.971818991609	2.867439201070	22.925233259052	13.332325713085	0.000000000000	
79000	-60.028467	690	4.728485260300	2.509201682496	38.900032329869	13.025779041403	0.000000000000	
80000	-58.739260	591	1.154809047701	2.929717828206	22.842738716043	12.155237599376	0.000000000000	
81000	-59.624554	52	4.671555279050	2.955549524111	29.651121237137	13.308885212858	0.000000000000	
82000	-60.987753	977	3.061790832368	3.461708528991	26.966129682995	10.345531240312	0.000000000000	
83000	-57.836816	465	3.109604282620	2.046789096024	27.935397445811	14.376433312390	0.000000000000	
84000	-58.936318	510	3.548596995569	1.987866027594	30.205651120812	15.210039887318	0.000000000000	
85000	-59.436388	398	2.968765549529	1.730018543284	22.728223219437	10.051820984277	0.000000000000	
86000	-61.577492	327	-0.993123393604	3.213315577735	36.657648700630	13.276182391973	0.000000000000	
87000	-60.516480	54	1.785326934326	1.517960832815	40.922336876338	20.582347893312	0.000000000000	
88000	-61.891810	237	-0.181277876983	1.455872456902	37.693517377370	11.602794419678	0.000000000000	
89000	-58.067999	591	2.094918241875	1.855274434476	21.702528697389	11.623980686040	0.000000000000	
90000	-58.975926	510	4.115198629461	3.459038276528	31.934572537516	14.468210340999	0.000000000000	
91000	-59.580556	299	1.864353979157	3.790995774139	32.724935233146	19.215860616305	0.000000000000	
92000	-62.643445	520	3.481917522971	0.883652318946	35.890507286083	17.475645652639	0.000000000000	
93000	-57.370833	483	2.175001295773	2.645903640527	23.340157493981	13.413503193052	0.000000000000	
